CountofExhibtions,ID,MoMACEMSID,ConstituentType,AlphaSortName,DisplayName,FirstName,MiddleName,LastName,Institution,Suffix,Nationality,BeginYear,EndYear,DisplayBio,Gender,VIAFID,WikidataQID,ULANID,SNACID,URL
335,4424,4609,Individual,Picasso Pablo,Pablo Picasso,Pablo,,Picasso,,,Spanish,1881,1973,"Spanish, 1881–1973",Male,15873,Q5593,500009666,68735334,http://www.moma.org/collection/artists/4609
256,3678,3832,Individual,Matisse Henri,Henri Matisse,Henri,,Matisse,,,French,1869,1954,"French, 1869–1954",Male,42630086,Q5589,500017300,36933814,http://www.moma.org/collection/artists/3832
211,3859,4016,Individual,Miró Joan,Joan Miró,Joan,,Miró,,,Spanish,1893,1983,"Spanish, 1893–1983",Male,9850739,Q152384,500014094,61863580,http://www.moma.org/collection/artists/4016
182,3002,3130,Individual,Klee Paul,Paul Klee,Paul,,Klee,,,German,1879,1940,"German, born Switzerland. 1879–1940",Male,68931085,Q44007,500010493,46750482,http://www.moma.org/collection/artists/3130
173,2799,2923,Individual,Johns Jasper,Jasper Johns,Jasper,,Johns,,,American,1930,,"American, born 1930",Male,49252397,Q155057,500022247,18555001,http://www.moma.org/collection/artists/2923
164,4632,4823,Individual,Rauschenberg Robert,Robert Rauschenberg,Robert,,Rauschenberg,,,American,1925,2008,"American, 1925–2008",Male,29544362,Q164358,500002941,20378450,http://www.moma.org/collection/artists/4823
155,6329,6624,Individual,Léger Fernand,Fernand Léger,Fernand,,Léger,,,French,1881,1955,"French, 1881–1955",Male,34459370,Q157183,500027374,45209998,http://www.moma.org/collection/artists/6624
146,714,744,Individual,Braque Georges,Georges Braque,Georges,,Braque,,,French,1882,1963,"French, 1882–1963",Male,9867924,Q153793,500025200,31075609,http://www.moma.org/collection/artists/744
145,5966,6246,Individual,Warhol Andy,Andy Warhol,Andy,,Warhol,,,American,1928,1987,"American, 1928–1987",Male,56617645,Q5603,500006031,16398848,http://www.moma.org/collection/artists/6246
139,1674,1752,Individual,Ernst Max,Max Ernst,Max,,Ernst,,,French,1891,1976,"French, born Germany. 1891–1976",Male,24601103,Q154842,500115729,57730391,http://www.moma.org/collection/artists/1752
135,1012,1053,Individual,Cézanne Paul,Paul Cézanne,Paul,,Cézanne,,,French,1839,1906,"French, 1839–1906",Male,39374836,Q35548,500004793,55816059,http://www.moma.org/collection/artists/1053
129,27103,4397,Individual,Oldenburg Claes,Claes Oldenburg,Claes,,Oldenburg,,,,1929,,,Male,85806900,Q156731,500029735,39754749,http://www.moma.org/collection/artists/4397
125,3564,3716,Individual,Man Ray (Emmanuel Radnitzky),Man Ray,,,Man Ray (Emmanuel Radnitzky),,,American,1890,1976,"American, 1890–1976",Male,7396101,Q46139,500015030,52092634,http://www.moma.org/collection/artists/3716
121,2856,2981,Individual,Kandinsky Vasily,Vasily Kandinsky,Vasily,,Kandinsky,,,French,1866,1944,"French, born Russia. 1866–1944",Male,22143802,Q61064,500021093,34020211,http://www.moma.org/collection/artists/2981
120,1558,1633,Individual,Dubuffet Jean,Jean Dubuffet,Jean,,Dubuffet,,,French,1901,1985,"French, 1901–1985",Male,64004844,Q170076,500019113,19941624,http://www.moma.org/collection/artists/1633
119,1014,1055,Individual,Chagall Marc,Marc Chagall,Marc,,Chagall,,,French,1887,1985,"French, born Belarus. 1887–1985",Male,103953801,Q93284,500115354,30183701,http://www.moma.org/collection/artists/1055
119,4649,4840,Individual,Redon Odilon,Odilon Redon,Odilon,,Redon,,,French,1840,1916,"French, 1840–1916",Male,73859058,Q154349,500007292,23266911,http://www.moma.org/collection/artists/4840
117,11,11,Individual,Arp Jean (Hans),Jean (Hans) Arp,Jean,,Arp,,,French,1886,1966,"French, born Germany (Alsace). 1886–1966",Male,7386175,Q153739,500031000,14148943,http://www.moma.org/collection/artists/11
117,2013,2098,Individual,Gauguin Paul,Paul Gauguin,Paul,,Gauguin,,,French,1848,1903,"French, 1848–1903",Male,27064953,Q37693,500011421,47172067,http://www.moma.org/collection/artists/2098
116,2054,2141,Individual,Giacometti Alberto,Alberto Giacometti,Alberto,,Giacometti,,,Swiss,1901,1966,"Swiss, 1901–1966",Male,49226067,Q157194,500118871,6340767,http://www.moma.org/collection/artists/2141
115,1060,1106,Individual,Chirico Giorgio de,Giorgio de Chirico,Giorgio de,,Chirico,,,Italian,1888,1978,"Italian, born Greece. 1888–1978",Male,104172730,Q156622,500032635,68339317,http://www.moma.org/collection/artists/1106
114,1431,1500,Individual,Derain André,André Derain,André,,Derain,,,French,1880,1954,"French, 1880–1954",Male,2469239,Q156272,500004535,10415885,http://www.moma.org/collection/artists/1500
113,5174,5383,Individual,Sheeler Charles,Charles Sheeler,Charles,,Sheeler,,,American,1883,1965,"American, 1883–1965",Male,29542632,Q624868,500115325,9031100,http://www.moma.org/collection/artists/5383
112,5402,5623,Individual,Steichen Edward,Edward Steichen,Edward,,Steichen,,,American,1879,1973,"American, born Luxembourg. 1879–1973",Male,73926135,Q313899,500000431,74987798,http://www.moma.org/collection/artists/5623
110,3899,4057,Individual,Mondrian Piet,Piet Mondrian,Piet,,Mondrian,,,Dutch,1872,1944,"Dutch, 1872–1944",Male,54151650,Q151803,500004972,20584701,http://www.moma.org/collection/artists/4057
110,3890,4048,Individual,Moholy-Nagy László,László Moholy-Nagy,László,,Moholy-Nagy,,,American,1895,1946,"American, born Hungary. 1895–1946",Male,22203431,Q160448,500004274,52882132,http://www.moma.org/collection/artists/4048
109,2987,3115,Individual,Kirchner Ernst Ludwig,Ernst Ludwig Kirchner,Ernst,Ludwig,Kirchner,,,German,1880,1938,"German, 1880–1938",Male,9888581,Q229272,500027704,28614982,http://www.moma.org/collection/artists/3115
109,2279,2374,Individual,Grosz George,George Grosz,George,,Grosz,,,American,1893,1959,"American, born Germany. 1893–1959",Male,12309408,Q107194,500014558,63505349,http://www.moma.org/collection/artists/2374
109,3392,3542,Individual,Lichtenstein Roy,Roy Lichtenstein,Roy,,Lichtenstein,,,American,1923,1997,"American, 1923–1997",Male,66470256,Q151679,500013596,72742908,http://www.moma.org/collection/artists/3542
109,4487,4675,Individual,Pollock Jackson,Jackson Pollock,Jackson,,Pollock,,,American,1912,1956,"American, 1912–1956",Male,12316903,Q37571,500015134,9769098,http://www.moma.org/collection/artists/4675
109,4075,4243,Individual,Nauman Bruce,Bruce Nauman,Bruce,,Nauman,,,American,1941,,"American, born 1941",Male,29597866,Q168665,500118742,43904312,http://www.moma.org/collection/artists/4243
108,27065,26020,Individual,London Barbara,Barbara London,Barbara,,London,,,,,,,,,,,,
108,3667,3821,Individual,Masson André,André Masson,André,,Masson,,,French,1896,1987,"French, 1896–1987",Male,36926103,Q312529,500030295,38083828,http://www.moma.org/collection/artists/3821
108,5159,5366,Individual,Shahn Ben,Ben Shahn,Ben,,Shahn,,,American,1898,1969,"American, born Lithuania. 1898–1969",Male,17268935,Q695239,500005524,30589473,http://www.moma.org/collection/artists/5366
106,406,429,Individual,Beckmann Max,Max Beckmann,Max,,Beckmann,,,German,1884,1950,"German, 1884–1950",Male,46775885,Q164683,500024106,47461296,http://www.moma.org/collection/artists/429
106,1487,1559,Individual,Dix Otto,Otto Dix,Otto,,Dix,,,German,1891,1969,"German, 1891–1969",Male,46769170,Q153104,500028047,18880684,http://www.moma.org/collection/artists/1559
106,2255,2349,Individual,Gris Juan,Juan Gris,Juan,,Gris,,,Spanish,1887,1927,"Spanish, 1887–1927",Male,49245334,Q151152,500015362,16902220,http://www.moma.org/collection/artists/2349
106,1559,1634,Individual,Duchamp Marcel,Marcel Duchamp,Marcel,,Duchamp,,,American,1887,1968,"American, born France. 1887–1968",Male,36917441,Q5912,500115393,54154794,http://www.moma.org/collection/artists/1634
104,887,922,Individual,Calder Alexander,Alexander Calder,Alexander,,Calder,,,American,1898,1976,"American, 1898–1976",Male,96096,Q151580,500007824,73940681,http://www.moma.org/collection/artists/922
102,9022,10244,Individual,Lieberman William S.,William S. Lieberman,William,S.,Lieberman,,,American,1923,2005,"American, 1923–2005",Male,109190713,Q19997602,,,
101,1299,1364,Individual,Dalí Salvador,Salvador Dalí,Salvador,,Dalí,,,Spanish,1904,1989,"Spanish, 1904–1989",Male,64004109,Q5577,500009365,23738461,http://www.moma.org/collection/artists/1364
101,2117,2206,Individual,Gogh Vincent van,Vincent van Gogh,Vincent,,van Gogh,,,Dutch,1853,1890,"Dutch, 1853–1890",Male,9854560,Q5582,500115588,66496439,http://www.moma.org/collection/artists/2206
101,3381,3528,Individual,LeWitt Sol,Sol LeWitt,Sol,,LeWitt,,,American,1928,2007,"American, 1928–2007",Male,84632546,Q168587,500115429,34334776,http://www.moma.org/collection/artists/3528
98,7682,8084,Individual,Szarkowski John,John Szarkowski,John,,Szarkowski,,,American,1925,2007,"American, 1925–2007",Male,110959125,Q1381389,500125639,72745198,http://www.moma.org/collection/artists/8084
98,1476,1547,Individual,Dine Jim,Jim Dine,Jim,,Dine,,,American,1935,,"American, born 1935",Male,61562057,Q531234,500028463,32063015,http://www.moma.org/collection/artists/1547
98,4854,5053,Individual,Rouault Georges,Georges Rouault,Georges,,Rouault,,,French,1871,1958,"French, 1871–1958",Male,16857,Q156128,500024798,72191870,http://www.moma.org/collection/artists/5053
95,637,665,Individual,Bonnard Pierre,Pierre Bonnard,Pierre,,Bonnard,,,French,1867,1947,"French, 1867–1947",Male,66499977,Q26408,500115555,71566403,http://www.moma.org/collection/artists/665
95,3967,4126,Individual,Motherwell Robert,Robert Motherwell,Robert,,Motherwell,,,American,1915,1991,"American, 1915–1991",Male,100187143,Q165275,500016415,69227963,http://www.moma.org/collection/artists/4126
